Date,Coursecode
20080915,ST
20080917,HV
20080921,ST
20080924,HV
20080928,ST
20081001,ST
20081005,ST
20081008,HV
20081012,ST
20081015,HV
20081019,HV
20081026,ST
20081029,ST
20081102,ST
20081104,HV
20081108,ST
20081116,ST
20081119,HV
20081123,ST
20081126,HV
20081130,ST
20081203,HV
20081206,ST
20081210,HV
20081214,ST
20081217,HV
20081220,ST
20081228,ST
20090101,ST
20090104,ST
20090107,HV
20090110,ST
20090114,HV
20090118,ST
20090121,HV
20090124,ST
20090128,ST
20090201,ST
20090204,HV
20090208,ST
20090211,HV
20090215,ST
20090218,HV
20090222,ST
20090225,HV
20090301,ST
20090304,ST
20090307,ST
20090311,HV
20090315,ST
20090318,HV
20090322,ST
20090328,ST
20090401,HV
20090405,ST
20090408,HV
20090413,ST
20090419,HV
20090422,HV
20090426,ST
20090501,ST
20090503,ST
20090506,HV
20090509,ST
20090513,HV
20090517,ST
20090521,HV
20090524,ST
20090527,HV
20090531,ST
20090603,HV
20090607,ST
20090610,HV
20090612,ST
20090613,ST
20090621,ST
20090624,HV
20090628,ST
20090701,ST
20090913,ST
20090916,HV
20090920,ST
20090923,HV
20090926,ST
20091001,ST
20091004,ST
20091007,HV
20091011,ST
20091014,HV
20091017,ST
20091021,HV
20091025,ST
20091101,HV
20091104,ST
20091107,ST
20091111,HV
20091115,ST
20091118,HV
20091122,ST
20091125,HV
20091129,ST
20091202,HV
20091206,ST
20091209,HV
20091213,ST
20091216,HV
20091219,ST
20091223,HV
20091227,ST
20100101,ST
20100106,HV
20100110,ST
20100113,HV
20100116,ST
20100120,HV
20100124,ST
20100127,HV
20100131,ST
20100203,HV
20100207,ST
20100210,HV
20100216,ST
20100221,ST
20100224,HV
20100228,ST
20100303,HV
20100306,ST
20100310,HV
20100314,ST
20100317,HV
20100321,ST
20100324,HV
20100324,ST
20100327,ST
20100331,HV
20100404,ST
20100407,HV
20100410,ST
20100418,HV
20100421,HV
20100425,ST
20100428,HV
20100501,ST
20100505,ST
20100508,ST
20100512,HV
20100516,ST
20100519,HV
20100523,ST
20100526,HV
20100530,ST
20100602,HV
20100606,HV
20100606,ST
20100609,HV
20100612,ST
20100616,ST
20100620,HV
20100627,ST
20100701,ST
20100704,ST
20100707,HV
20100711,ST
20100714,HV
20100905,ST
20100908,HV
20100912,ST
20100915,HV
20100918,ST
20100923,HV
20100926,ST
20101001,ST
20101006,HV
20101010,ST
20101013,HV
20101017,ST
20101020,HV
20101024,ST
20101031,HV
20101103,ST
20101106,ST
20101110,HV
20101114,ST
20101117,HV
20101121,ST
20101124,HV
20101128,ST
20101201,HV
20101204,ST
20101208,HV
20101212,ST
20101215,HV
20101219,ST
20101223,HV
20101227,ST
20110101,ST
20110105,HV
20110109,ST
20110112,HV
20110116,ST
20110119,HV
20110123,ST
20110126,HV
20110130,ST
20110205,ST
20110209,HV
20110212,ST
20110216,HV
20110220,ST
20110223,HV
20110227,ST
20110302,HV
20110306,ST
20110309,HV
20110312,ST
20110316,HV
20110320,ST
20110323,ST
20110327,ST
20110330,HV
20110403,ST
20110406,HV
20110409,ST
20110413,ST
20110417,HV
20110420,HV
20110425,ST
20110501,ST
20110504,HV
20110507,ST
20110510,ST
20110515,ST
20110518,HV
20110521,ST
20110525,HV
20110529,ST
20110601,HV
20110605,ST
20110608,HV
20110611,ST
20110615,HV
20110619,ST
20110622,HV
20110626,ST
20110701,ST
20110706,HV
20110710,ST
20110911,ST
20110914,HV
20110918,ST
20110921,HV
20110925,ST
20110928,HV
20111001,ST
20111006,HV
20111009,ST
20111012,HV
20111016,ST
20111019,ST
20111023,HV
20111026,HV
20111030,ST
20111105,ST
20111109,HV
20111113,ST
20111116,HV
20111120,ST
20111123,HV
20111127,ST
20111130,HV
20111204,ST
20111207,HV
20111211,ST
20111214,HV
20111217,ST
20111221,HV
20111221,ST
20111227,ST
20120101,ST
20120104,HV
20120108,ST
20120111,HV
20120115,ST
20120118,HV
20120121,ST
20120125,HV
20120125,ST
20120129,ST
20120201,HV
20120205,ST
20120208,HV
20120211,ST
20120215,HV
20120219,ST
20120222,HV
20120226,ST
20120229,HV
20120304,ST
20120307,HV
20120310,ST
20120314,HV
20120318,ST
20120321,ST
20120325,ST
20120328,HV
20120401,ST
20120409,ST
20120415,HV
20120418,HV
20120421,ST
20120425,HV
20120429,ST
20120502,HV
20120506,ST
20120509,HV
20120512,ST
20120516,ST
20120519,ST
20120527,ST
20120530,HV
20120603,ST
20120606,HV
20120609,ST
20120613,HV
20120617,ST
20120620,HV
20120624,ST
20120701,ST
20120704,HV
20120708,ST
20120711,HV
20120715,ST
20120908,ST
20120912,HV
20120916,ST
20120919,HV
20120923,ST
20120926,HV
20121001,ST
20121006,ST
20121010,HV
20121014,ST
20121017,ST
20121021,HV
20121024,HV
20121028,ST
20121104,ST
20121107,HV
20121110,ST
20121114,ST
20121118,ST
20121121,HV
20121125,ST
20121128,HV
20121202,ST
20121205,HV
20121209,ST
20121212,HV
20121216,ST
20121219,HV
20121222,ST
20121228,HV
20130101,ST
20130106,ST
20130109,HV
20130112,ST
20130116,HV
20130120,ST
20130123,HV
20130127,ST
20130130,HV
20130202,ST
20130206,HV
20130212,ST
20130217,ST
20130220,HV
20130224,ST
20130227,HV
20130302,ST
20130306,HV
20130310,ST
20130313,HV
20130317,ST
20130320,ST
20130324,ST
20130327,HV
20130401,ST
20130407,ST
20130410,HV
20130414,HV
20130417,HV
20130420,ST
20130424,HV
20130428,ST
20130501,ST
20130505,ST
20130508,HV
20130511,ST
20130515,HV
20130518,ST
20130522,HV
20130526,ST
20130529,HV
20130602,ST
20130605,HV
20130608,ST
20130612,ST
20130616,ST
20130619,HV
20130623,ST
20130626,HV
20130701,ST
20130704,HV
20130707,ST
20130710,HV
20130908,ST
20130911,HV
20130915,ST
20130917,HV
20130922,ST
20130925,HV
20131001,ST
20131006,ST
20131009,HV
20131012,ST
20131016,ST
20131020,HV
20131023,HV
20131027,ST
20131030,ST
20131103,ST
20131106,HV
20131109,ST
20131113,HV
20131117,ST
20131120,HV
20131124,ST
20131127,HV
20131201,ST
20131204,HV
20131208,ST
20131211,HV
20131215,ST
20131218,HV
20131221,ST
20131226,HV
20131229,ST
20140101,ST
20140105,ST
20140108,HV
20140111,ST
20140115,HV
20140119,ST
20140122,HV
20140126,ST
20140201,ST
20140205,HV
20140208,ST
20140212,HV
20140216,ST
20140219,HV
20140223,ST
20140226,HV
20140301,ST
20140305,HV
20140309,ST
20140312,HV
20140316,ST
20140319,HV
20140323,ST
20140326,ST
20140330,ST
20140402,HV
20140406,ST
20140409,HV
20140413,ST
20140416,HV
20140421,ST
20140427,ST
20140430,HV
20140504,ST
20140507,HV
20140510,ST
20140514,HV
20140517,ST
20140521,HV
20140525,ST
20140528,HV
20140601,ST
20140605,HV
20140608,ST
20140611,ST
20140615,ST
20140618,ST
20140622,ST
20140625,ST
20140628,ST
20140701,OS
20140706,ST
20140914,ST
20140917,ST
20140921,ST
20140924,ST
20140927,ST
20141001,ST
20141008,ST
20141012,ST
20141015,ST
20141019,HV
20141022,HV
20141026,ST
20141029,HV
20141102,ST
20141109,ST
20141112,HV
20141115,ST
20141119,HV
20141123,ST
20141126,HV
20141130,ST
20141203,HV
20141207,ST
20141210,HV
20141214,ST
20141217,HV
20141220,ST
20141228,ST
20150101,ST
20150107,HV
20150114,HV
20150118,ST
20150121,HV
20150125,ST
20150128,HV
20150201,ST
